"economy","economycode","wpid_random","wgt","female","age","educ","inc_q","emp_in","urbanicity_f2f","account","account_fin","account_mob","fin1_1a","fin1_1b","fin2","fin4","fin4a","fin5","fin6","fin7","fin8","fin8a","fin8b","fin9","fin9a","fin10","fin10a","fin10b","fin11_1","fin11a","fin11b","fin11c","fin11d","fin11e","fin11f","fin11g","fin11h","fin13a","fin13b","fin13c","fin13d","fin14_1","fin14_2","fin14_2_China","fin14a","fin14a1","fin14b","fin14c","fin14c_2","fin14c_2_China","fin16","fin17a","fin17a1","fin17b","fin20","fin22a","fin22b","fin22c","fin24","fin24a","fin24b","fin26","fin27_1","fin27c1","fin27c2","fin28","fin29_1","fin29c1","fin29c2","fin30","fin31a","fin31b","fin31b1","fin31b1_China","fin31c","fin32","fin33","fin34a","fin34b","fin34d","fin34e","fin35","fin37","fin38","fin39a","fin39b","fin39d","fin39e","fin42","fin42a","fin43a","fin43b","fin43d","fin43e","fin44a","fin44b","fin44c","fin44d","fin45","fin45_1","fin45_1_China","saved","borrowed","receive_wages","receive_transfers","receive_pension","receive_agriculture","pay_utilities","remittances","mobileowner","internetaccess","anydigpayment","merchantpay_dig"
"Brazil","BRA",139476910,3.32629610622761,1,42,2,3,1,,1,1,0,1,2,1,1,2,1,1,1,1,2,1,1,1,2,,2,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,4,3,3,2,,,,2,,,,1,2,2,,,1,1,2,1,2,,,2,2,2,,,,,2,,,,,,2,5,3,3,,1,,0,1,1,4,4,4,2,5,1,1,1,0
"Brazil","BRA",148279574,0.644232998488662,2,28,2,5,1,,1,1,0,2,2,1,1,1,1,2,1,1,1,1,1,2,1,2,2,,,,,,,,,,,,,,2,3,,1,2,2,,,,1,2,,2,2,2,2,,3,2,1,2,,,,2,,,,1,1,1,2,,,2,,,,,,,2,2,,,,,2,,,,,,2,1,2,3,1,1,,1,1,4,4,4,4,1,5,1,1,1,1
"Brazil","BRA",174934066,0.392507269136138,1,34,2,4,1,,1,1,0,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,1,2,,1,2,1,1,2,,1,1,,2,2,2,2,,3,3,6,2,,,,2,,,,1,1,1,2,,,2,,,,,,,2,2,,,,,2,,,,,,2,3,3,3,,2,,1,1,4,4,4,4,1,5,1,1,1,1
"Brazil","BRA",168787536,0.223555133709581,1,71,4,3,2,,1,1,0,1,1,1,2,,2,2,2,,,,1,2,1,2,1,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,2,2,1,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,3,3,3,3,,1,,0,0,4,4,4,4,4,5,1,1,0,0
"Brazil","BRA",115468274,1.76140169764207,2,49,1,2,1,,1,1,1,,,2,,,,,,,,,,,,,,,2,1,2,1,2,1,1,1,2,1,2,2,2,,,1,2,1,2,2,,2,1,1,2,2,2,2,,2,2,2,2,,,,2,,,,1,1,2,2,,,1,2,1,2,,,2,2,2,,,,,2,,,,,,1,1,1,1,3,1,,1,0,1,4,4,4,1,5,1,1,1,0
"Brazil","BRA",142491962,0.708992478749724,2,60,1,3,2,,1,1,0,1,1,1,1,1,1,1,1,1,1,2,2,,1,1,1,,,,,,,,,,,,,,2,1,,2,2,2,,,,2,2,,2,2,1,2,,2,1,1,2,,,,2,,,,1,1,2,2,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,2,3,2,1,,0,1,4,4,4,4,1,5,1,1,1,1
"Brazil","BRA",145723300,4.83019576939222,2,29,2,2,1,,1,1,0,1,1,2,,,1,2,1,1,1,1,1,2,1,2,1,,,,,,,,,,,,,,2,1,,1,2,2,,,,2,2,,1,2,2,2,2,3,2,2,1,2,1,2,1,1,,,1,1,2,1,,,2,,,,,,,2,2,,,,,1,1,1,2,,,3,2,2,3,3,2,,1,1,4,4,4,1,1,1,1,1,1,1
"Brazil","BRA",165475034,0.223555133709581,2,58,3,5,1,,1,1,0,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,,,,,,,,,,,,,,1,2,,1,2,1,1,2,,2,2,,2,2,2,2,,1,2,2,2,,,,2,,,,1,1,1,2,,,1,1,1,2,,,2,2,2,,,,,2,,,,,,2,2,2,4,1,2,,0,1,1,4,4,4,1,5,1,1,1,1
"Brazil","BRA",133060060,0.223555133709581,1,52,3,5,1,,1,1,0,1,2,1,1,2,1,1,1,1,1,1,1,2,1,1,1,,,,,,,,,,,,,,2,2,,2,2,1,1,2,,2,2,,2,2,2,2,,2,3,3,2,,,,2,,,,1,1,1,2,,,2,,,,,,,2,2,,,,,2,,,,,,1,3,2,3,1,2,,1,1,4,4,4,4,1,5,1,1,1,1
"Brazil","BRA",140479313,2.8175223897375,1,16,1,5,1,,0,0,0,,,2,,,,,,,,,,,,,,1,2,1,1,2,2,2,1,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,6,2,1,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,2,1,2,3,3,2,,0,1,4,4,4,4,4,5,1,1,0,0
"Brazil","BRA",156807425,0.223555133709581,2,74,3,5,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,,,,,,,,,,1,2,2,2,2,2,,1,1,1,1,2,,2,2,1,2,2,2,2,,5,2,1,2,,,,2,,,,1,1,2,2,,,1,1,1,2,,,2,2,2,,,,,2,,,,,,2,2,2,3,3,2,,1,1,1,4,4,4,1,5,1,1,1,1
"Brazil","BRA",208749905,0.223555133709581,1,64,2,4,2,,1,1,0,1,2,1,2,,2,2,1,1,2,1,1,2,1,2,2,,,,,,,,,,,,,,2,,,2,2,1,1,2,,2,2,,2,2,2,2,,2,1,1,2,,,,2,,,,1,1,2,1,,,2,,,,,,,2,1,1,2,,,2,,,,,,2,1,1,3,2,1,,0,1,4,4,1,4,1,5,1,1,1,1
